candidate_id,first_name,last_name,highest_education,years_experience,current_city,current_country,notice_period_days,expected_ctc_lpa,phone,email
83,Vivaan,Martin,Masters,1.6,Hyderabad,India,30,63.1,7549552045,vivaan.martin83@example.com
84,Rohit,Gupta,Bachelors,1.8,Bengaluru,India,30,27.4,9026314365,rohit.gupta84@example.com
85,Sarah,Yadav,Bachelors,5.8,Noida,India,45,31.3,8686013167,sarah.yadav85@example.com
86,Aadhya,Patel,Masters,7.5,Chennai,India,60,47.5,8649591232,aadhya.patel86@example.com
87,Aarav,Kim,Bachelors,13.1,Kolkata,India,30,28.8,8200324027,aarav.kim87@example.com
88,Oliver,Jain,Masters,3.7,Noida,India,30,30.8,6578969884,oliver.jain88@example.com
89,Saanvi,Roy,Bachelors,4.4,Hyderabad,India,30,38.3,8372441594,saanvi.roy89@example.com
90,Sai,Kapoor,Bachelors,3.1,Chennai,India,30,41.4,6498856840,sai.kapoor90@example.com
91,Mia,Chen,Masters,7.1,Ahmedabad,India,60,17.0,7020485249,mia.chen91@example.com
92,Liam,Chatterjee,Masters,1.3,Chennai,India,45,18.5,8437438911,liam.chatterjee92@example.com
93,Ava,Das,PhD,3.9,Indore,India,60,22.2,8028201723,ava.das93@example.com
94,Raghav,Chatterjee,Bachelors,5.4,Kolkata,Other,30,25.6,9117120544,raghav.chatterjee94@example.com
95,Aadhya,Mehta,Bachelors,2.4,Jaipur,India,45,54.4,9539810331,aadhya.mehta95@example.com
96,Sofia,Reddy,Masters,1.7,Lucknow,India,45,15.2,8966309541,sofia.reddy96@example.com
97,Ananya,Sharma,Masters,5.5,Bengaluru,India,45,12.1,6031378862,ananya.sharma97@example.com
98,Arjun,Sharma,PhD,7.2,Bengaluru,India,0,54.7,7945714135,arjun.sharma98@example.com
99,Aarohi,Khan,Bachelors,6.1,Kochi,India,0,10.6,9477979253,aarohi.khan99@example.com
100,Ishaan,Chatterjee,Masters,5.9,Kolkata,India,60,35.6,6500289683,ishaan.chatterjee100@example.com
101,Rohit,Roy,Bachelors,6.3,Kolkata,India,30,26.3,6042875799,rohit.roy101@example.com
102,Ava,Verma,Bachelors,8.7,Bengaluru,India,30,55.7,9372322955,ava.verma102@example.com
103,Rohit,Ghosh,Masters,4.2,Indore,India,60,50.0,7922948385,rohit.ghosh103@example.com
104,Oliver,Sharma,Bachelors,8.4,Bengaluru,Other,60,9.9,6848787461,oliver.sharma104@example.com
105,Aarohi,Gupta,Masters,5.6,Indore,India,15,49.0,6889132829,aarohi.gupta105@example.com
106,Elijah,Khan,Bachelors,2.6,Jaipur,Other,0,52.3,9167575528,elijah.khan106@example.com
107,Raghav,Singh,Masters,2.4,Chennai,India,45,48.5,6977777497,raghav.singh107@example.com
108,Aarohi,Martin,Bachelors,5.5,Noida,India,30,56.1,7394245829,aarohi.martin108@example.com
109,Saanvi,Jain,Masters,3.3,Lucknow,India,30,14.9,7525166372,saanvi.jain109@example.com
110,Ava,Agarwal,PhD,5.9,Chennai,India,60,55.5,6545143101,ava.agarwal110@example.com
111,Noah,Patel,Bachelors,2.3,Lucknow,India,30,32.3,7936451721,noah.patel111@example.com
112,Krishna,Panda,Bachelors,1.4,Chennai,India,30,67.1,9909225519,krishna.panda112@example.com
113,Aarav,Garcia,Masters,3.9,Lucknow,India,30,49.5,6200567007,aarav.garcia113@example.com
114,Anika,Garcia,Bachelors,0.8,Noida,India,90,57.1,6077337456,anika.garcia114@example.com
115,Aditya,Das,Bachelors,4.5,Pune,India,60,15.0,9647087765,aditya.das115@example.com
116,Isha,Brown,Bachelors,19.0,Indore,India,30,48.2,9382402766,isha.brown116@example.com
117,Raghav,Iyer,Bachelors,2.0,Bengaluru,India,45,45.9,7446618733,raghav.iyer117@example.com
118,Emily,Gupta,Bachelors,4.5,Chennai,Other,30,49.6,6965954006,emily.gupta118@example.com
119,Raghav,Panda,Bachelors,1.5,Noida,India,30,4.5,6786048114,raghav.panda119@example.com
120,Ava,Bose,Diploma,5.0,Kolkata,India,90,61.3,6575500209,ava.bose120@example.com
121,Mia,Chen,Bachelors,7.6,Indore,Other,15,47.9,7673002588,mia.chen121@example.com
122,Aarav,Smith,Bachelors,2.6,Noida,India,0,26.1,7146094721,aarav.smith122@example.com
123,Arjun,Singh,Bachelors,2.8,Chennai,India,30,37.8,6129481325,arjun.singh123@example.com
124,Meera,Panda,Masters,2.9,Hyderabad,India,30,61.6,7409825212,meera.panda124@example.com
125,Noah,Verma,Diploma,13.7,Indore,India,60,23.9,6857427149,noah.verma125@example.com
126,Sai,Agarwal,Bachelors,4.1,Hyderabad,India,30,64.5,7112430648,sai.agarwal126@example.com
127,Navya,Roy,Masters,5.2,Kolkata,India,60,48.7,6528606103,navya.roy127@example.com
128,Aadhya,Ghosh,Masters,2.4,Jaipur,India,15,19.0,8040571495,aadhya.ghosh128@example.com
129,Aadhya,Jain,Bachelors,0.6,Kolkata,India,90,29.5,9498832718,aadhya.jain129@example.com
130,Ananya,Garcia,Masters,7.4,Mumbai,India,90,13.4,9344211128,ananya.garcia130@example.com
131,Rohit,Das,Bachelors,2.3,Ahmedabad,India,60,61.6,8213771695,rohit.das131@example.com
132,Arjun,Kim,Masters,8.3,Pune,India,0,38.9,8016348338,arjun.kim132@example.com
133,Kiara,Mehta,Bachelors,8.4,Jaipur,India,0,60.6,6924412397,kiara.mehta133@example.com
134,Meera,Verma,Bachelors,0.1,Noida,India,15,50.8,9193466164,meera.verma134@example.com
135,Vivaan,Johnson,Masters,5.2,Bengaluru,India,30,13.0,9789527633,vivaan.johnson135@example.com
136,Saanvi,Johnson,Bachelors,3.8,Kolkata,India,0,19.3,7981316269,saanvi.johnson136@example.com
137,Elijah,Chen,Masters,6.6,Ahmedabad,Other,60,38.5,6575669483,elijah.chen137@example.com
138,Vihaan,Verma,Bachelors,3.6,Lucknow,Other,60,57.7,6540413761,vihaan.verma138@example.com
139,Navya,Kim,Bachelors,3.0,Noida,India,90,20.3,7696752127,navya.kim139@example.com
140,Vivaan,Kapoor,Masters,2.8,Kolkata,India,30,4.9,7775447304,vivaan.kapoor140@example.com
141,Anika,Panda,Bachelors,5.9,Mumbai,India,60,35.1,6167716162,anika.panda141@example.com
142,Ava,Chatterjee,Bachelors,2.0,Pune,India,0,32.0,8814629297,ava.chatterjee142@example.com
143,Aarav,Reddy,Masters,4.3,Pune,India,15,10.0,9983713404,aarav.reddy143@example.com
144,Liam,Nair,Masters,3.1,Indore,India,45,18.5,7783518793,liam.nair144@example.com
145,Emily,Patel,Bachelors,3.9,Mumbai,India,60,33.0,7521698188,emily.patel145@example.com
146,Sai,Yadav,Masters,4.0,Ahmedabad,India,15,9.3,8615431187,sai.yadav146@example.com
147,Aadhya,Sharma,Diploma,3.2,Kolkata,India,60,48.7,7873884459,aadhya.sharma147@example.com
148,Sofia,Nair,Bachelors,1.8,Pune,India,30,16.2,9158818137,sofia.nair148@example.com
149,Sarah,Panda,Bachelors,8.6,Chennai,India,60,68.3,8483458891,sarah.panda149@example.com
150,Kiara,Reddy,Masters,7.2,Pune,India,60,32.9,6919655337,kiara.reddy150@example.com
151,Oliver,Chatterjee,PhD,8.0,Indore,India,30,42.5,6323256236,oliver.chatterjee151@example.com
152,Vihaan,Johnson,Bachelors,13.5,Kolkata,India,60,11.7,7355804904,vihaan.johnson152@example.com
153,Noah,Yadav,Masters,1.3,Jaipur,India,30,46.4,9844001117,noah.yadav153@example.com
154,Aditya,Patel,Masters,1.9,Mumbai,India,30,69.2,8489960081,aditya.patel154@example.com
155,Rohit,Williams,Masters,3.3,Noida,India,60,18.4,6295727566,rohit.williams155@example.com
156,Emily,Verma,Bachelors,2.2,Kolkata,India,30,3.4,6687240378,emily.verma156@example.com
157,Isha,Martin,Bachelors,6.8,Kochi,India,60,40.9,8086328398,isha.martin157@example.com
158,Oliver,Roy,Bachelors,2.2,Lucknow,India,30,18.0,8859231015,oliver.roy158@example.com
159,Elijah,Bose,Masters,6.3,Hyderabad,India,45,26.9,7955881981,elijah.bose159@example.com
160,Sofia,Gupta,Bachelors,10.9,Indore,India,30,7.2,9457949666,sofia.gupta160@example.com
161,Raghav,Sharma,Bachelors,7.0,Noida,Other,30,30.4,6687565929,raghav.sharma161@example.com
162,Saanvi,Singh,Diploma,6.9,Hyderabad,India,30,17.5,9072886577,saanvi.singh162@example.com
163,Emily,Johnson,Masters,3.2,Kolkata,Other,60,42.5,6770613073,emily.johnson163@example.com
164,Vivaan,Das,Masters,3.5,Indore,India,90,67.3,7320772384,vivaan.das164@example.com
165,Aditya,Nair,Bachelors,6.3,Jaipur,India,45,4.7,8674976519,aditya.nair165@example.com
166,Ananya,Singh,Masters,6.1,Indore,India,45,27.1,9196762563,ananya.singh166@example.com
167,Kiara,Kim,Bachelors,6.7,Hyderabad,India,30,27.3,7259537782,kiara.kim167@example.com
168,Saanvi,Martin,Bachelors,1.3,Jaipur,India,0,27.5,9599120280,saanvi.martin168@example.com
169,Oliver,Bose,Bachelors,1.5,Mumbai,India,60,69.0,9558395994,oliver.bose169@example.com
170,Ananya,Lee,Bachelors,4.2,Ahmedabad,India,30,49.5,6437986671,ananya.lee170@example.com
171,Navya,Lee,Bachelors,3.7,Jaipur,India,30,62.0,7532426439,navya.lee171@example.com
172,Navya,Bose,Bachelors,2.1,Chennai,India,30,42.1,8787293433,navya.bose172@example.com
173,Ava,Brown,Bachelors,3.4,Hyderabad,India,90,30.4,9249433539,ava.brown173@example.com
174,Aditya,Singh,Masters,3.4,Jaipur,India,0,33.6,9814085311,aditya.singh174@example.com
175,Liam,Singh,Masters,6.0,Noida,India,45,26.5,6450624080,liam.singh175@example.com
176,Navya,Iyer,Bachelors,7.2,Mumbai,India,60,42.0,6873382040,navya.iyer176@example.com
177,Ava,Williams,Masters,5.6,Mumbai,India,90,56.1,6618865879,ava.williams177@example.com
178,Vihaan,Verma,Masters,3.3,Jaipur,India,90,24.3,6437382588,vihaan.verma178@example.com
179,Sarah,Patel,Diploma,4.5,Kolkata,India,60,57.3,6289852209,sarah.patel179@example.com
180,Krishna,Chatterjee,Masters,4.9,Jaipur,India,60,66.9,7195029237,krishna.chatterjee180@example.com
181,Emily,Iyer,Masters,15.4,Kolkata,India,30,31.4,6052209744,emily.iyer181@example.com
182,Raghav,Reddy,Bachelors,2.1,Ahmedabad,India,30,45.5,8408767292,raghav.reddy182@example.com
183,Elijah,Gupta,Bachelors,5.3,Lucknow,India,30,15.5,9661483189,elijah.gupta183@example.com
184,Krishna,Williams,Masters,2.2,Ahmedabad,India,0,65.9,6768135517,krishna.williams184@example.com
185,Isha,Brown,Masters,5.4,Jaipur,India,0,49.8,9340820126,isha.brown185@example.com
186,Emily,Gupta,Masters,7.6,Indore,India,0,27.8,8292117467,emily.gupta186@example.com
187,Aarohi,Williams,PhD,1.3,Kochi,India,0,42.1,6813718899,aarohi.williams187@example.com
188,Ishaan,Agarwal,Masters,6.0,Hyderabad,India,0,26.8,9712986898,ishaan.agarwal188@example.com
189,Ava,Mehta,Masters,1.8,Kochi,India,90,61.5,7810387892,ava.mehta189@example.com
190,Noah,Nair,Bachelors,3.4,Noida,India,30,65.3,7335329677,noah.nair190@example.com
191,Ananya,Singh,Bachelors,9.2,Gurugram,India,15,58.9,7713392344,ananya.singh191@example.com
192,Sai,Chatterjee,Bachelors,1.7,Pune,India,0,44.6,8864234073,sai.chatterjee192@example.com
193,Aarav,Williams,Bachelors,1.8,Kochi,India,60,25.5,9578784669,aarav.williams193@example.com
194,Liam,Singh,Bachelors,4.4,Noida,India,90,20.8,6616797886,liam.singh194@example.com
195,Kiara,Mehta,Masters,2.4,Chennai,India,30,27.3,7503833144,kiara.mehta195@example.com
196,Diya,Iyer,Bachelors,3.1,Lucknow,India,0,14.3,7804769131,diya.iyer196@example.com
197,Arjun,Smith,Masters,8.4,Noida,India,60,47.0,9506928632,arjun.smith197@example.com
198,Arjun,Bose,Masters,0.6,Kochi,India,60,56.1,9308780718,arjun.bose198@example.com
199,Isha,Khan,Bachelors,3.3,Ahmedabad,India,60,23.6,7257598868,isha.khan199@example.com
200,Sofia,Brown,Masters,6.5,Jaipur,India,30,49.4,8925430463,sofia.brown200@example.com
201,Sai,Kapoor,Bachelors,0.9,Lucknow,India,45,38.7,6329183987,sai.kapoor201@example.com
202,Krishna,Smith,Bachelors,2.9,Chennai,India,45,46.0,6520056504,krishna.smith202@example.com
203,Arjun,Mehta,Masters,2.2,Pune,India,30,37.3,9775973257,arjun.mehta203@example.com
204,Aarav,Yadav,Masters,7.6,Noida,India,30,48.8,8400483645,aarav.yadav204@example.com
205,Aadhya,Lee,Bachelors,1.5,Kolkata,India,60,69.7,7031231347,aadhya.lee205@example.com
206,Sarah,Chatterjee,Bachelors,3.2,Pune,India,30,67.4,6470300153,sarah.chatterjee206@example.com
207,Vihaan,Patel,Bachelors,4.7,Gurugram,India,60,10.8,6588236760,vihaan.patel207@example.com
208,Anika,Sharma,Bachelors,3.1,Ahmedabad,India,90,36.4,6678521143,anika.sharma208@example.com
209,Rohit,Gupta,Diploma,1.9,Jaipur,India,60,61.1,9334255674,rohit.gupta209@example.com
210,Sofia,Panda,Bachelors,7.4,Jaipur,India,15,60.1,8393661927,sofia.panda210@example.com
211,Ava,Brown,Bachelors,2.5,Chennai,India,30,27.4,6433272811,ava.brown211@example.com
212,Oliver,Yadav,Bachelors,4.3,Bengaluru,India,30,21.8,6441998400,oliver.yadav212@example.com
213,Aditya,Chatterjee,Masters,1.6,Hyderabad,Other,0,34.9,8921025036,aditya.chatterjee213@example.com
214,Isha,Kapoor,Bachelors,6.0,Gurugram,India,30,59.7,7871091360,isha.kapoor214@example.com
215,Aarohi,Chatterjee,Masters,5.4,Ahmedabad,India,30,42.9,9352922231,aarohi.chatterjee215@example.com
216,Aarohi,Das,Bachelors,5.0,Chennai,India,45,23.2,8028175156,aarohi.das216@example.com
217,Sofia,Kapoor,Bachelors,3.9,Jaipur,Other,60,49.0,9516236058,sofia.kapoor217@example.com
218,Mia,Lee,Bachelors,1.9,Kochi,India,45,15.7,7254913621,mia.lee218@example.com
219,Anika,Ghosh,Bachelors,3.0,Bengaluru,India,0,49.4,8070295882,anika.ghosh219@example.com
220,Mia,Sharma,Masters,0.4,Mumbai,India,15,41.3,6380374515,mia.sharma220@example.com
221,Aadhya,Gupta,Masters,5.1,Jaipur,India,90,35.3,9689779857,aadhya.gupta221@example.com
222,Mia,Kapoor,Masters,5.3,Noida,India,0,39.1,6625518260,mia.kapoor222@example.com
223,Ava,Iyer,Masters,3.6,Noida,India,60,58.2,8227818438,ava.iyer223@example.com
224,Vihaan,Iyer,Masters,19.0,Indore,India,90,38.8,6387264068,vihaan.iyer224@example.com
225,Arjun,Brown,Masters,3.2,Mumbai,India,60,5.6,9800267685,arjun.brown225@example.com
226,Vihaan,Mehta,Bachelors,2.2,Jaipur,India,60,42.2,6516707910,vihaan.mehta226@example.com
227,Raghav,Brown,Bachelors,6.0,Noida,India,30,32.0,9491462228,raghav.brown227@example.com
228,Aadhya,Das,Bachelors,7.9,Kolkata,India,0,14.9,6931342102,aadhya.das228@example.com
229,Elijah,Panda,Masters,7.7,Chennai,India,45,69.9,7969293643,elijah.panda229@example.com
230,Isha,Ghosh,Masters,2.1,Mumbai,India,0,19.1,9434182920,isha.ghosh230@example.com
231,Aarav,Bose,Bachelors,8.2,Hyderabad,India,30,38.4,7650044730,aarav.bose231@example.com
232,Ishaan,Roy,Bachelors,3.3,Hyderabad,India,60,52.7,7081280915,ishaan.roy232@example.com
233,Mia,Yadav,Bachelors,1.8,Gurugram,India,30,54.2,9111034814,mia.yadav233@example.com
234,Mia,Patel,Bachelors,1.7,Jaipur,Other,30,24.9,7793895590,mia.patel234@example.com
235,Sofia,Roy,Masters,9.3,Kochi,India,0,45.0,7985830947,sofia.roy235@example.com
236,Ishaan,Patel,Diploma,5.6,Kolkata,India,60,29.8,7273369819,ishaan.patel236@example.com
237,Oliver,Jain,Bachelors,4.0,Ahmedabad,India,30,54.6,7079423360,oliver.jain237@example.com
238,Raghav,Chen,Masters,1.9,Jaipur,India,0,3.0,9196371507,raghav.chen238@example.com
239,Ava,Smith,Masters,6.1,Kolkata,India,60,50.0,6053101686,ava.smith239@example.com
240,Emily,Reddy,Bachelors,11.6,Lucknow,India,60,67.5,8586213955,emily.reddy240@example.com
241,Isha,Johnson,Bachelors,6.9,Chennai,India,30,40.4,9084095345,isha.johnson241@example.com
242,Krishna,Brown,Bachelors,2.4,Indore,India,30,59.1,6325459608,krishna.brown242@example.com
243,Mia,Reddy,Bachelors,4.6,Pune,Other,45,33.4,7667702224,mia.reddy243@example.com
244,Mia,Bose,Bachelors,4.8,Kolkata,India,30,41.4,9986604350,mia.bose244@example.com
245,Aditya,Jain,Masters,0.7,Indore,India,30,24.4,6312761018,aditya.jain245@example.com
246,Vivaan,Singh,Masters,5.2,Kochi,India,15,58.4,6200418341,vivaan.singh246@example.com
247,Mia,Jain,Masters,2.8,Ahmedabad,India,30,15.0,8593788768,mia.jain247@example.com
248,Sai,Brown,Bachelors,6.9,Indore,India,0,41.1,9732214608,sai.brown248@example.com
249,Vihaan,Iyer,Masters,9.3,Hyderabad,India,30,26.3,9729321622,vihaan.iyer249@example.com
250,Meera,Lee,Bachelors,5.0,Pune,India,45,62.0,7010369375,meera.lee250@example.com
251,Sofia,Verma,Bachelors,2.5,Indore,India,45,27.1,7153304905,sofia.verma251@example.com
252,Meera,Bose,Masters,2.4,Chennai,India,90,51.4,8196355054,meera.bose252@example.com
253,Aadhya,Reddy,Bachelors,8.3,Kochi,India,30,49.7,7696503572,aadhya.reddy253@example.com
254,Aditya,Nair,Bachelors,3.6,Kochi,India,45,56.0,8202719242,aditya.nair254@example.com
255,Emily,Singh,Bachelors,1.6,Kochi,India,60,22.5,9439893240,emily.singh255@example.com
256,Mia,Das,Bachelors,5.5,Gurugram,India,45,28.4,6302157921,mia.das256@example.com
257,Krishna,Kapoor,Diploma,1.1,Ahmedabad,India,45,24.2,6310320176,krishna.kapoor257@example.com
258,Raghav,Agarwal,Masters,6.3,Jaipur,Other,15,10.4,6437531159,raghav.agarwal258@example.com
259,Ananya,Martin,Masters,1.7,Kolkata,India,30,21.9,7671446665,ananya.martin259@example.com
260,Sofia,Roy,Bachelors,5.6,Kochi,India,45,68.4,7066410224,sofia.roy260@example.com
261,Meera,Sharma,Bachelors,3.8,Noida,India,30,51.1,9059813862,meera.sharma261@example.com
262,Aarav,Kim,PhD,2.2,Pune,India,15,42.7,7857934124,aarav.kim262@example.com
263,Sai,Bose,Bachelors,2.3,Noida,India,0,58.2,9703001854,sai.bose263@example.com
264,Elijah,Panda,Masters,3.7,Kochi,India,30,63.0,9909390053,elijah.panda264@example.com
265,Meera,Gupta,Bachelors,2.4,Jaipur,India,60,10.1,9611804630,meera.gupta265@example.com
266,Emily,Smith,Masters,3.7,Indore,India,60,17.7,7986924854,emily.smith266@example.com
267,Meera,Nair,Bachelors,1.7,Indore,India,60,24.1,6669482869,meera.nair267@example.com
268,Mia,Panda,Masters,4.7,Jaipur,India,15,8.0,8217953395,mia.panda268@example.com
269,Elijah,Reddy,Masters,0.7,Hyderabad,India,60,39.9,6815046168,elijah.reddy269@example.com
